=== Logger: VulkanApp ===
[11:59:33.276] [VulkanApp] [INFO] Vulkan Application Starting

  === Logger: Renderer ===
  [11:59:35.935] [Renderer] [INFO] FPS: 3105.59 | Avg: 2265.73 | Min: 70.10 | Max: 6369.43 | Frames: 2760
  [11:59:35.955] [Renderer] [INFO] FPS: 2659.57 | Avg: 2278.28 | Min: 70.10 | Max: 6369.43 | Frames: 2820
  [11:59:35.978] [Renderer] [INFO] FPS: 3134.80 | Avg: 2284.70 | Min: 70.10 | Max: 6369.43 | Frames: 2880
  [11:59:36.001] [Renderer] [INFO] FPS: 3496.50 | Avg: 2289.41 | Min: 70.10 | Max: 6369.43 | Frames: 2940
  [11:59:36.021] [Renderer] [INFO] FPS: 1851.85 | Avg: 2300.18 | Min: 70.10 | Max: 6369.43 | Frames: 3000
  [11:59:36.045] [Renderer] [INFO] FPS: 3030.30 | Avg: 2303.80 | Min: 70.10 | Max: 6369.43 | Frames: 3060
  [11:59:36.071] [Renderer] [INFO] FPS: 1338.69 | Avg: 2304.43 | Min: 70.10 | Max: 6369.43 | Frames: 3120
  [11:59:36.095] [Renderer] [INFO] FPS: 1569.86 | Avg: 2308.04 | Min: 70.10 | Max: 6369.43 | Frames: 3180
  [11:59:36.115] [Renderer] [INFO] FPS: 3389.83 | Avg: 2318.06 | Min: 70.10 | Max: 6369.43 | Frames: 3240
  [11:59:36.140] [Renderer] [INFO] FPS: 3649.64 | Avg: 2319.32 | Min: 70.10 | Max: 6369.43 | Frames: 3300
  [11:59:36.167] [Renderer] [INFO] FPS: 3184.71 | Avg: 2318.12 | Min: 70.10 | Max: 6369.43 | Frames: 3360
  [11:59:36.186] [Renderer] [INFO] FPS: 2493.77 | Avg: 2328.39 | Min: 70.10 | Max: 6369.43 | Frames: 3420
  [11:59:36.211] [Renderer] [INFO] FPS: 3105.59 | Avg: 2330.33 | Min: 70.10 | Max: 6369.43 | Frames: 3480
  [11:59:36.235] [Renderer] [INFO] FPS: 3717.47 | Avg: 2332.49 | Min: 70.10 | Max: 6369.43 | Frames: 3540
  [11:59:36.258] [Renderer] [INFO] FPS: 843.17 | Avg: 2336.82 | Min: 70.10 | Max: 6369.43 | Frames: 3600
  [11:59:36.280] [Renderer] [INFO] FPS: 2544.53 | Avg: 2342.46 | Min: 70.10 | Max: 6369.43 | Frames: 3660
  [11:59:36.304] [Renderer] [INFO] FPS: 3496.50 | Avg: 2344.07 | Min: 70.10 | Max: 6369.43 | Frames: 3720
  [11:59:36.329] [Renderer] [INFO] FPS: 1317.52 | Avg: 2345.72 | Min: 70.10 | Max: 6369.43 | Frames: 3780
  [11:59:36.350] [Renderer] [INFO] FPS: 3521.13 | Avg: 2352.20 | Min: 70.10 | Max: 6369.43 | Frames: 3840
  [11:59:36.375] [Renderer] [INFO] FPS: 3164.56 | Avg: 2352.85 | Min: 70.10 | Max: 6369.43 | Frames: 3900
  [11:59:36.399] [Renderer] [INFO] FPS: 3558.72 | Avg: 2354.56 | Min: 70.10 | Max: 6369.43 | Frames: 3960
  [11:59:36.419] [Renderer] [INFO] FPS: 2673.80 | Avg: 2363.14 | Min: 70.10 | Max: 6369.43 | Frames: 4020
  [11:59:36.444] [Renderer] [INFO] FPS: 3378.38 | Avg: 2363.86 | Min: 70.10 | Max: 6369.43 | Frames: 4080
  [11:59:36.468] [Renderer] [INFO] FPS: 2020.20 | Avg: 2364.62 | Min: 70.10 | Max: 6369.43 | Frames: 4140
  [11:59:36.489] [Renderer] [INFO] FPS: 2949.85 | Avg: 2370.69 | Min: 70.10 | Max: 6369.43 | Frames: 4200
  [11:59:36.512] [Renderer] [INFO] FPS: 3846.15 | Avg: 2373.47 | Min: 70.10 | Max: 6369.43 | Frames: 4260
  [11:59:36.538] [Renderer] [INFO] FPS: 2770.08 | Avg: 2373.33 | Min: 70.10 | Max: 6369.43 | Frames: 4320
  [11:59:36.559] [Renderer] [INFO] FPS: 2985.07 | Avg: 2379.11 | Min: 70.10 | Max: 6369.43 | Frames: 4380
  [11:59:36.581] [Renderer] [INFO] FPS: 2793.30 | Avg: 2382.58 | Min: 70.10 | Max: 6369.43 | Frames: 4440
  [11:59:36.606] [Renderer] [INFO] FPS: 2427.18 | Avg: 2383.71 | Min: 70.10 | Max: 6369.43 | Frames: 4500
  [11:59:36.630] [Renderer] [INFO] FPS: 1445.09 | Avg: 2384.44 | Min: 70.10 | Max: 6369.43 | Frames: 4560
  [11:59:36.651] [Renderer] [INFO] FPS: 3533.57 | Avg: 2390.27 | Min: 70.10 | Max: 6369.43 | Frames: 4620
  [11:59:36.676] [Renderer] [INFO] FPS: 3690.04 | Avg: 2390.36 | Min: 70.10 | Max: 6369.43 | Frames: 4680
  [11:59:36.700] [Renderer] [INFO] FPS: 3745.32 | Avg: 2390.71 | Min: 70.10 | Max: 6369.43 | Frames: 4740
  [11:59:36.719] [Renderer] [INFO] FPS: 2949.85 | Avg: 2398.03 | Min: 70.10 | Max: 6369.43 | Frames: 4800
  [11:59:36.749] [Renderer] [INFO] FPS: 3496.50 | Avg: 2392.19 | Min: 70.10 | Max: 6369.43 | Frames: 4860
  [11:59:36.777] [Renderer] [INFO] FPS: 2061.86 | Avg: 2389.16 | Min: 70.10 | Max: 6369.43 | Frames: 4920
  [11:59:36.803] [Renderer] [INFO] FPS: 2898.55 | Avg: 2388.67 | Min: 70.10 | Max: 6369.43 | Frames: 4980
  [11:59:36.826] [Renderer] [INFO] FPS: 2808.99 | Avg: 2390.27 | Min: 70.10 | Max: 6369.43 | Frames: 5040
  [11:59:36.850] [Renderer] [INFO] FPS: 3703.70 | Avg: 2391.64 | Min: 70.10 | Max: 6369.43 | Frames: 5100
  [11:59:36.875] [Renderer] [INFO] FPS: 3703.70 | Avg: 2392.44 | Min: 70.10 | Max: 6369.43 | Frames: 5160
  [11:59:36.899] [Renderer] [INFO] FPS: 2840.91 | Avg: 2393.51 | Min: 70.10 | Max: 6410.26 | Frames: 5220
  [11:59:36.917] [Renderer] [INFO] FPS: 3278.69 | Avg: 2401.05 | Min: 70.10 | Max: 6410.26 | Frames: 5280
  [11:59:36.942] [Renderer] [INFO] FPS: 3584.23 | Avg: 2401.51 | Min: 70.10 | Max: 6410.26 | Frames: 5340
  [11:59:36.966] [Renderer] [INFO] FPS: 5235.60 | Avg: 2401.93 | Min: 70.10 | Max: 6410.26 | Frames: 5400
  [11:59:36.985] [Renderer] [INFO] FPS: 3134.80 | Avg: 2408.06 | Min: 70.10 | Max: 6410.26 | Frames: 5460
  [11:59:37.009] [Renderer] [INFO] FPS: 2283.11 | Avg: 2409.79 | Min: 70.10 | Max: 6410.26 | Frames: 5520
  [11:59:37.031] [Renderer] [INFO] FPS: 3484.32 | Avg: 2412.08 | Min: 70.10 | Max: 6410.26 | Frames: 5580
  [11:59:37.051] [Renderer] [INFO] FPS: 3105.59 | Avg: 2417.63 | Min: 70.10 | Max: 6410.26 | Frames: 5640
  [11:59:37.077] [Renderer] [INFO] FPS: 3278.69 | Avg: 2416.10 | Min: 70.10 | Max: 6410.26 | Frames: 5700
  [11:59:37.104] [Renderer] [INFO] FPS: 2645.50 | Avg: 2414.43 | Min: 70.10 | Max: 6410.26 | Frames: 5760
  [11:59:37.129] [Renderer] [INFO] FPS: 1264.22 | Avg: 2413.82 | Min: 70.10 | Max: 6410.26 | Frames: 5820
  [11:59:37.149] [Renderer] [INFO] FPS: 2724.80 | Avg: 2418.93 | Min: 70.10 | Max: 6410.26 | Frames: 5880
  [11:59:37.174] [Renderer] [INFO] FPS: 2941.18 | Avg: 2418.68 | Min: 70.10 | Max: 6410.26 | Frames: 5940
