pipeline,fps_delta_avg,bw_delta_avg,n_tests
compute,10.121605230144683,7.9461262884009365,261
fragment,1.825071877778978,2.405338697983232,257
hardware_rt,-1.339380237647485,-0.44101776626003475,223
